race_number,fav_horse_id,fav_odds,fav_finish,won,user_pnl_after,bankroll_after
3216,14,2.95,1,1,-3007.00,12007.00
3217,3,3.13,3,0,-3107.00,12107.00
3218,8,3.20,7,0,-3207.00,12207.00
3219,3,3.05,2,0,-3307.00,12307.00
3220,4,2.47,3,0,-3407.00,12407.00
3221,4,2.80,3,0,-3507.00,12507.00
3222,16,2.31,4,0,-3607.00,12607.00
3223,16,2.34,3,0,-3707.00,12707.00
3224,16,2.07,3,0,-3807.00,12807.00
3225,8,2.84,1,1,-3623.00,12623.00
3226,12,3.87,2,0,-3723.00,12723.00
3227,14,3.60,8,0,-3823.00,12823.00
3228,8,2.75,2,0,-3923.00,12923.00
3229,3,2.87,3,0,-4023.00,13023.00
3230,8,3.26,4,0,-4123.00,13123.00
3231,3,3.48,1,1,-3875.00,12875.00
3232,8,3.74,1,1,-3601.00,12601.00
3233,3,3.42,3,0,-3701.00,12701.00
3234,16,3.19,3,0,-3801.00,12801.00
3235,16,1.82,3,0,-3901.00,12901.00
3236,16,2.61,1,1,-3740.00,12740.00
3237,16,2.04,4,0,-3840.00,12840.00
3238,14,3.91,2,0,-3940.00,12940.00
3239,14,2.65,1,1,-3775.00,12775.00
3240,3,3.93,3,0,-3875.00,12875.00
3241,16,1.57,2,0,-3975.00,12975.00
3242,14,3.47,8,0,-4075.00,13075.00
3243,14,3.54,2,0,-4175.00,13175.00
3244,16,2.63,2,0,-4275.00,13275.00
3245,3,2.76,2,0,-4375.00,13375.00
3246,14,3.40,2,0,-4475.00,13475.00
3247,12,3.10,4,0,-4575.00,13575.00
3248,14,2.08,2,0,-4675.00,13675.00
3249,14,3.70,8,0,-4775.00,13775.00
3250,16,4.36,2,0,-4875.00,13875.00
3251,14,3.64,1,1,-4611.00,13611.00
3252,4,3.72,2,0,-4711.00,13711.00
3253,16,2.48,7,0,-4811.00,13811.00
3254,14,2.61,2,0,-4911.00,13911.00
3255,16,2.45,7,0,-5011.00,14011.00
3256,3,3.00,1,1,-4811.00,13811.00
3257,16,3.03,3,0,-4911.00,13911.00
3258,14,2.59,1,1,-4752.00,13752.00
3259,16,3.19,4,0,-4852.00,13852.00
3260,12,2.82,5,0,-4952.00,13952.00
3261,4,4.48,8,0,-5052.00,14052.00
3262,4,2.04,3,0,-5152.00,14152.00
3263,16,2.52,3,0,-5252.00,14252.00
3264,4,2.45,8,0,-5352.00,14352.00
3265,14,3.21,1,1,-5131.00,14131.00
3266,3,3.10,2,0,-5231.00,14231.00
3267,9,5.26,8,0,-5331.00,14331.00
3268,14,3.47,2,0,-5431.00,14431.00
3269,14,2.65,1,1,-5266.00,14266.00
3270,14,2.94,4,0,-5366.00,14366.00
3271,8,3.46,2,0,-5466.00,14466.00
3272,3,3.29,2,0,-5566.00,14566.00
3273,14,2.71,1,1,-5395.00,14395.00
3274,8,2.16,2,0,-5495.00,14495.00
3275,3,3.47,6,0,-5595.00,14595.00
3276,8,2.18,1,1,-5477.00,14477.00
3277,16,2.73,1,1,-5304.00,14304.00
3278,1,2.84,5,0,-5404.00,14404.00
3279,16,2.57,2,0,-5504.00,14504.00
3280,1,2.43,4,0,-5604.00,14604.00
3281,12,4.79,8,0,-5704.00,14704.00
3282,14,3.42,2,0,-5804.00,14804.00
3283,16,3.60,6,0,-5904.00,14904.00
3284,16,2.31,2,0,-6004.00,15004.00
3285,16,2.01,1,1,-5903.00,14903.00
3286,16,3.95,6,0,-6003.00,15003.00
3287,14,4.01,3,0,-6103.00,15103.00
3288,14,2.89,7,0,-6203.00,15203.00
3289,1,3.55,5,0,-6303.00,15303.00
3290,14,3.74,2,0,-6403.00,15403.00
3291,1,3.92,8,0,-6503.00,15503.00
3292,3,3.08,1,1,-6295.00,15295.00
3293,16,4.58,1,1,-5937.00,14937.00
3294,14,3.15,1,1,-5722.00,14722.00
3295,14,2.92,3,0,-5822.00,14822.00
3296,8,3.77,7,0,-5922.00,14922.00
3297,14,3.03,4,0,-6022.00,15022.00
3298,3,2.56,8,0,-6122.00,15122.00
3299,14,3.40,5,0,-6222.00,15222.00
3300,16,3.05,1,1,-6017.00,15017.00
3301,1,2.76,7,0,-6117.00,15117.00
3302,12,3.92,4,0,-6217.00,15217.00
3303,1,3.37,5,0,-6317.00,15317.00
3304,1,4.04,4,0,-6417.00,15417.00
3305,8,2.98,1,1,-6219.00,15219.00
3306,12,4.07,2,0,-6319.00,15319.00
3307,16,2.38,1,1,-6181.00,15181.00
3308,14,1.46,1,1,-6135.00,15135.00
3309,14,2.74,1,1,-5961.00,14961.00
3310,8,1.94,1,1,-5867.00,14867.00
3311,16,1.79,2,0,-5967.00,14967.00
3312,14,3.08,2,0,-6067.00,15067.00
3313,1,2.51,7,0,-6167.00,15167.00
3314,8,2.46,3,0,-6267.00,15267.00
3315,12,2.20,3,0,-6367.00,15367.00
3316,12,2.32,4,0,-6467.00,15467.00
3317,3,1.85,2,0,-6567.00,15567.00
3318,3,3.46,4,0,-6667.00,15667.00
3319,3,3.27,4,0,-6767.00,15767.00
3320,14,3.02,3,0,-6867.00,15867.00
3321,16,2.30,2,0,-6967.00,15967.00
3322,12,2.90,4,0,-7067.00,16067.00
3323,3,3.14,3,0,-7167.00,16167.00
3324,4,2.75,3,0,-7267.00,16267.00
3325,16,2.39,2,0,-7367.00,16367.00
3326,8,2.43,1,1,-7224.00,16224.00
3327,16,2.66,7,0,-7324.00,16324.00
3328,8,2.37,6,0,-7424.00,16424.00
3329,14,2.73,1,1,-7251.00,16251.00
3330,3,3.08,2,0,-7351.00,16351.00
3331,14,3.50,4,0,-7451.00,16451.00
3332,14,3.55,6,0,-7551.00,16551.00
3333,16,1.52,1,1,-7499.00,16499.00
3334,14,3.92,5,0,-7599.00,16599.00
3335,16,2.32,1,1,-7467.00,16467.00
3336,1,3.16,1,1,-7251.00,16251.00
3337,3,3.02,2,0,-7351.00,16351.00
3338,12,2.32,1,1,-7219.00,16219.00
3339,12,2.25,1,1,-7094.00,16094.00
3340,4,2.76,3,0,-7194.00,16194.00
3341,14,2.56,1,1,-7038.00,16038.00
3342,14,2.04,1,1,-6934.00,15934.00
3343,3,3.23,1,1,-6711.00,15711.00
3344,8,2.23,1,1,-6588.00,15588.00
3345,12,1.77,1,1,-6511.00,15511.00
3346,14,3.09,8,0,-6611.00,15611.00
3347,8,3.98,7,0,-6711.00,15711.00
3348,16,3.09,6,0,-6811.00,15811.00
3349,4,1.30,1,1,-6781.00,15781.00
3350,1,2.82,1,1,-6599.00,15599.00
3351,16,2.62,2,0,-6699.00,15699.00
3352,14,3.35,1,1,-6464.00,15464.00
3353,3,2.20,6,0,-6564.00,15564.00
3354,12,2.73,3,0,-6664.00,15664.00
3355,8,2.62,3,0,-6764.00,15764.00
3356,8,3.27,5,0,-6864.00,15864.00
3357,16,2.07,2,0,-6964.00,15964.00
3358,8,3.77,2,0,-7064.00,16064.00
3359,8,2.05,2,0,-7164.00,16164.00
3360,14,1.84,1,1,-7080.00,16080.00
3361,3,3.73,2,0,-7180.00,16180.00
3362,1,3.44,1,1,-6936.00,15936.00
3363,3,3.19,3,0,-7036.00,16036.00
3364,3,2.98,5,0,-7136.00,16136.00
3365,3,2.98,2,0,-7236.00,16236.00
3366,14,2.55,1,1,-7081.00,16081.00
3367,16,2.42,3,0,-7181.00,16181.00
3368,16,4.22,8,0,-7281.00,16281.00
3369,1,3.62,3,0,-7381.00,16381.00
3370,16,3.01,2,0,-7481.00,16481.00
3371,16,2.72,2,0,-7581.00,16581.00
3372,3,2.77,2,0,-7681.00,16681.00
3373,8,2.77,1,1,-7504.00,16504.00
3374,4,2.92,7,0,-7604.00,16604.00
3375,16,2.37,1,1,-7467.00,16467.00
3376,8,1.66,1,1,-7401.00,16401.00
